291.33,0.6,2200,0.78,0.82,23075,3.5273,0.30614,,Power,Heat,Eff,% Change
291.33,0.6,2200,0.8,0.82,23667,3.4391,0.31399,,-9.303513875,10.25568892,-9.299914082,
291.33,0.6,2200,0.82,0.82,24259,3.3552,0.32184,,-6.976652779,7.498749687,-6.974194886,
291.33,0.6,2200,0.84,0.82,24850,3.2754,0.32968,,-4.649791683,4.876219055,-4.648475691,
291.33,0.6,2200,0.86,0.82,25442,3.1992,0.33753,,-2.326861096,2.381845461,-2.325719195,
291.33,0.6,2200,0.88,0.82,26034,3.1265,0.34538,,0,0,0,
291.33,0.6,2200,0.9,0.82,26625,3.057,0.35323,,2.326861096,-2.272443111,2.325719195,
291.33,0.6,2200,0.92,0.82,27217,2.9905,0.36108,,4.649791683,-4.444861215,4.651438391,
291.33,0.6,2200,0.94,0.82,27809,2.9269,0.36893,,6.976652779,-6.523505876,6.977157586,
291.33,0.6,2200,0.96,0.82,28400,2.8659,0.37678,,9.303513875,-8.511502876,9.302876781,
