25,32783,2.5956,0.39434,,269.11
35,32767,2.5556,0.4005,,274.67
45,32756,2.5145,0.40706,,280.22
55,32749,2.4712,0.41419,,285.78
65,32745,2.4248,0.42211,,291.33
75,32746,2.3742,0.43111,,296.89
85,32754,2.3178,0.4416,,302.44
95,32769,2.2536,0.45418,,308
105,32791,2.1786,0.46982,,313.56
115,32820,2.0888,0.49003,,319.11
